block_time,score,block_hash
None,84.2,00000000000000000000e3e46937a73d5af4732c67bcaa7d4c49fda7f1741122
4.57,40.0,00000000000000000000b60b37773cef77a365eae9be29964c756f5faa0e472e
9.03,82.6,0000000000000000000435419eca6241086ac217e6204e0abf2b72afc3b1d59a
15.19,87.2,00000000000000000002444ca22d681e213bdc3e376f258b292e0f9e24c3786f
5.9,64.0,00000000000000000002e941613862700dc0b73a79e2667f563c22ffd65c62d2
3.62,68.5,000000000000000000046c76ade9d94e29632b707342048a629ce115085f101d
7.52,74.9,00000000000000000003e4e96a2fe786dc1ed4a0c5b3ffbfa7984d51f49961ac
4.68,64.3,00000000000000000000e811d515f2a1bc67d062e29f2e873886fc768e189427
7.46,49.399998,000000000000000000043e76cead3c5f020bdd3f822ac122c0afef5c37950c66
25.5,96.3,00000000000000000004141fe6d8fc8768b50e051f6f8f148d71f3bf4d133e05
9.64,73.7,000000000000000000005164fa40b045d45a2a31961b1aae942a658322132ccd
16.37,94.3,000000000000000000040c1dde4a4c53186245d637a24d461826329197cc2a41
10.19,77.8,000000000000000000047171c44cbdf81b5a358b609a7317f37dd7e73edf69ae
3.75,72.299995,00000000000000000004876599e46b4ccaf944ffe2b02585a92be6228a912e20
20.43,82.200005,000000000000000000034439ef1bf80e4df103723b8437b462d6ea7b05e060ae
3.54,43.399998,00000000000000000004098605505d5e59eb786ae9456ba4b877a3dec03b09b9
25.37,86.0,000000000000000000046fcd42cb25e8b1b1da78fde9796dc13b9e9748cf0fd2
8.51,89.5,00000000000000000004740ec494bf4d1f61a8ccdd12750681f395cbade8897c
11.26,72.6,00000000000000000004331bc2463f6df40fcc26c10a6b13f320b34ea0930938
23.43,97.399994,0000000000000000000451e50b2286b8ced00357b2bfa1c11d1529b1d28a1c4e
11.63,80.6,00000000000000000000985c239ccad5c136f476c8a39b05832b5e9f72d7ecf3
7.2,83.1,00000000000000000001ee4b121307144a9e5ecc431202783c34e1d9bb93da21
39.89,93.0,000000000000000000022f5c3e3cd25170490c162bf132c75278e20a6870a4b9
10.5,89.700005,000000000000000000001f457f1af6249314ab62eb9c04544bd88b01e9f71d11
3.2,82.0,000000000000000000033f6312f3179ec2cfbc72738ff8f56728186dff849a52
6.95,29.4,0000000000000000000344c7cf294bad140d85f0342624aa17978e2f52a9d28a
3.78,15.9,00000000000000000001683a8079dd23c6cc242a63d076dc9b29f7deb81efbb5
