block_time,score,block_hash
None,98.299995,000000000000000000014e65b929ee1d41f09fa4821e012181549b2fd2ffcd15
5.05,84.6,00000000000000000003f24d6841cdd20febeb943bf8ec8e24af41ad66cc4583
7.02,79.299995,00000000000000000002d6773d1ea69a17663c9b274b94a8b1882177189f697e
10.75,65.7,00000000000000000000c608b96abf642ab105ff462f2c32389fcdeb8519c75b
1.75,95.0,000000000000000000005dc684d8d3537e741895673b98b440329d62a778f935
12.51,85.1,00000000000000000003808955465a027fd95dfcb558d1a075d3ab435440ee02
3.12,78.7,00000000000000000003c277118e8a6bbbdd40523e8ad3ce89c8c4b420376af0
38.84,92.299995,000000000000000000009dce5f4bd32b8180edd8dd0c2ec50afaf54df01da91c
3.0,94.5,000000000000000000049b6f3ffec6fdd397e5fd82fde4c58b23a77acc6b78ff
10.63,92.2,0000000000000000000422720f942ee3872aa3f84101a931518fab3e1e1163c5
18.57,96.200005,0000000000000000000204dc5a7827e1388136e41c91f8d8e3f7700629305568
6.81,87.7,000000000000000000049168ad751cf182e08cda2a14a78c03211f503f3f9cba
2.01,27.5,000000000000000000013c04673611d9476e7679237113e2563d010d7c2797e2
36.11,91.399994,000000000000000000043a63e929828eaa7067dd0c8b3cf18df3d2e51599c5e5
2.84,89.8,00000000000000000000347538f00e7456c7e8b959a5e4032de54f48429386d3
5.36,64.9,00000000000000000000ba4a9de53d2a7f07fced28c9c82d3b84313a02c4c579
8.53,82.3,0000000000000000000046fcb40bf054c6b8344dc3ba2db254f78f4f40f560ba
2.82,96.6,00000000000000000003d0d1b9a1e3f9892259c8063775885294cd379a202dbc
4.77,78.7,0000000000000000000152ed11eb7f9994aa9d89f5214f744880901db9a923b8
3.28,86.799995,000000000000000000025879a0496f4d65a8662591a3e4a588405ea751a82f16
16.4,85.5,000000000000000000038a6e4f44b7c96a94630352f5a620d952fcb408126c66
6.22,41.5,0000000000000000000112b79c66d019b9cf6d5369efc270a3e3aca2d77ec13b
12.09,88.4,00000000000000000000b2d91286ba16d2ddf4b6ae984d13f73d21705b3667c9
53.65,91.6,00000000000000000003fd2258d68fcb56771fe7c6b52161f86fee7883f5a98e
10.73,99.299995,000000000000000000016c9eae3530c8517178773b4f496d8bc49ae54bd4d3bd
8.71,76.8,00000000000000000001ffd6580677b1ea12b74e27bfcaa2541f19bd2e1813aa
10.49,67.6,00000000000000000003a9b8aac4def2092f5f9abdf9f6a2564e95f8759bb8da
8.17,73.799995,000000000000000000001c676e2155b6706a3dc2a0b3f6a6e49a0bb1995073fc
9.1,81.1,0000000000000000000074e1b8604d2283aa4495a634a68e18d4ecce866490fb
12.44,68.4,000000000000000000014468a94ea2bae003baa171b82a4655b023c4eed1f52b
3.95,23.9,00000000000000000002ac90a30d503c409f0587bc0c1cb4eeaf90b3f10e151d
7.96,84.899994,000000000000000000027289b5785c5b7e5abed5e51de3fc91b4aaeb278ddfd7
17.15,78.899994,00000000000000000002d9272f64b0935ef27d0614573f0081d80f3827f1c039
3.99,52.0,00000000000000000002ce5597a824737c42bc62e1eda7b9160d4dec3c2457d3
9.94,78.0,00000000000000000002b593d7da0d5f080c76ed99e222329a65fc531930e9a7
4.4,63.7,00000000000000000000bd67e03a83127eccb37135dcba1e0b5c0c7411583b1b
3.78,85.1,00000000000000000003e15a95335a35d98eacc2f1b3be4daab3d528d4da764a
12.19,63.9,00000000000000000003d133bb73c3e021435fc17e505273a5af0fa0743b18c0
9.39,60.399998,0000000000000000000412d87a3625f8810cd0c156b578fa909842e3da63d605
11.43,94.700005,000000000000000000044a1087932968ea73da6a0e4820912c1fba2c81ae7005
6.46,76.4,00000000000000000004036a87e51e0ce1e68a2b9309a52b04080e2e4efadf38
12.56,78.6,000000000000000000012df62663ffb18f4d011bb7956555ae9121e3f8d12e38
